Token,PoS,Lemma
Vorstellung,NOUN,Vorstellung
der,DET,der
Berliner,ADJ,Berliner
Fachstelle,NOUN,Fachstelle
gegen,ADP,gegen
Diskriminierung,NOUN,Diskriminierung
auf,ADP,auf
dem,DET,der
Wohnungsmarkt,NOUN,Wohnungsmarkt
"
",SPACE,"
"
Für,ADP,für
Familien,NOUN,Familie
mit,ADP,mit
Kindern,NOUN,Kind
",",PUNCT,--
Menschen,NOUN,Mensch
mit,ADP,mit
nicht-deutsch,ADV,nicht-deutsch
anmutenden,ADJ,anmutend
Namen,NOUN,Name
oder,CCONJ,oder
beispielsweise,ADV,beispielsweise
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderung,NOUN,Behinderung
ist,AUX,sein
Diskriminierung,NOUN,Diskriminierung
auf,ADP,auf
dem,DET,der
Wohnungsmarkt,NOUN,Wohnungsmarkt
nichts,DET,nichts
Neues,NOUN,neue
.,PUNCT,--
Durch,ADP,durch
den,DET,der
Wohnungsmangel,NOUN,Wohnungsmangel
verstärkt,VERB,verstärken
sich,PRON,sich
diese,PRON,dieser
sogar,ADV,sogar
.,PUNCT,--
Deshalb,ADV,deshalb
hat,AUX,haben
die,DET,der
Berliner,ADJ,Berliner
Fachstelle,NOUN,Fachstelle
gegen,ADP,gegen
Diskriminierung,NOUN,Diskriminierung
auf,ADP,auf
dem,DET,der
Wohnungsmarkt,NOUN,Wohnungsmarkt
im,ADP,in
Sommer,NOUN,Sommer
ihre,DET,ihr
Arbeit,NOUN,Arbeit
aufgenommen,VERB,aufnehmen
.,PUNCT,--
Sie,PRON,sie
wird,AUX,werden
in,ADP,in
einer,DET,ein
Kooperation,NOUN,Kooperation
zwischen,ADP,zwischen
dem,DET,der
Büro,NOUN,Büro
UrbanPlus,PROPN,UrbanPlus
und,CCONJ,und
dem,DET,der
Türkischen,ADJ,Türkisch
Bund,NOUN,Bund
in,ADP,in
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
(,PUNCT,--
TBB,PROPN,TBB
),PUNCT,--
betrieben,VERB,betreiben
.,PUNCT,--
Wir,PRON,wir
möchten,AUX,möchten
in,ADP,in
einer,DET,ein
Pressekonferenz,NOUN,Pressekonferenz
Ihnen,PRON,ihnen
von,ADP,von
ersten,ADJ,erster
Erfahrungen,NOUN,Erfahrung
berichten,VERB,berichten
und,CCONJ,und
einen,DET,ein
Einblick,NOUN,Einblick
in,ADP,in
die,DET,der
Beratungsarbeit,NOUN,Beratungsarbeit
geben,VERB,geben
:,PUNCT,--
11.,ADJ,11.
September,NOUN,September
2017,NUM,2017
um,ADP,um
12:30,NOUN,12:30
Uhr,NOUN,Uhr
Rotes,ADJ,Rot
Rathaus,NOUN,Rathaus
Jüdenstraße,PROPN,Jüdenstraße
1,NUM,1
",",PUNCT,--
10178,NUM,10178
Berlin,PROPN,Berlin
Raum,NOUN,Raum
:,PUNCT,--
319,NUM,319
An,ADP,an
dem,DET,der
Gespräch,NOUN,Gespräch
nehmen,VERB,nehmen
Dr.,NOUN,Dr.
Christiane,PROPN,Christiane
Droste,PROPN,Droste
von,ADP,von
UrbanPlus,PROPN,UrbanPlus
",",PUNCT,--
Remzi,PROPN,Remzi
Uyguner,PROPN,Uyguner
vom,ADP,von
TBB,PROPN,TBB
und,CCONJ,und
Senator,NOUN,Senator
Dr.,NOUN,Dr.
Dirk,PROPN,Dirk
Behrendt,PROPN,Behrendt
teil,ADV,teil
.,PUNCT,--
Ein,DET,ein
Schwerpunkt,NOUN,Schwerpunkt
der,DET,der
Arbeit,NOUN,Arbeit
liegt,VERB,liegen
in,ADP,in
der,DET,der
Dokumentation,NOUN,Dokumentation
von,ADP,von
Diskriminierungsfällen,NOUN,Diskriminierungsfälle
.,PUNCT,--
Die,DET,der
Fachstelle,NOUN,Fachstelle
vermittelt,VERB,vermitteln
zudem,ADV,zudem
zu,PART,zu
bestehenden,ADJ,bestehend
Beratungsangeboten,NOUN,Beratungsangebot
.,PUNCT,--
Außerdem,ADV,außerdem
bietet,VERB,bieten
sie,PRON,sie
Vernetzungs-,X,Vernetzung
",",PUNCT,--
Fortbildungs-,X,Fortbildung
und,CCONJ,und
Qualifizierungsangebote,NOUN,Qualifizierungsangebot
für,ADP,für
