Token,PoS,Lemma
Heimatmuseum,PROPN,Heimatmuseum
:,PUNCT,--
„,PUNCT,--
Mahlsdorf,PROPN,Mahlsdorf
bleibt,VERB,bleiben
Mahlsdorf,PROPN,Mahlsdorf
“,PUNCT,--
Paul,PROPN,Paul
Großmann,PROPN,Großmann
-,PUNCT,--
Heimatforscher,NOUN,Heimatforscher
und,CCONJ,und
Poet,NOUN,Poet
"
",SPACE,"
"
Am,ADP,an
Sonntag,NOUN,Sonntag
",",PUNCT,--
dem,DET,der
2.,ADJ,2.
Februar,NOUN,Februar
2020,NUM,2020
",",PUNCT,--
um,ADP,um
14:00,ADJ,14:00
Uhr,NOUN,Uhr
",",PUNCT,--
lädt,VERB,laden
das,DET,der
Bezirksmuseum,NOUN,Bezirksmuseum
Marzahn-Hellersdorf,PROPN,Marzahn-Hellersdorf
im,ADP,in
Haus,NOUN,Haus
2,NUM,2
zur,ADP,zu
Eröffnung,NOUN,Eröffnung
der,DET,der
nächsten,ADJ,nächster
Ausstellung,NOUN,Ausstellung
unter,ADP,unter
dem,DET,der
Titel,NOUN,Titel
„,PUNCT,--
Mahlsdorf,PROPN,Mahlsdorf
bleibt,VERB,bleiben
Mahlsdorf,PROPN,Mahlsdorf
“,PUNCT,--
Paul,PROPN,Paul
Großmann,PROPN,Großmann
–,PUNCT,--
Heimatforscher,NOUN,Heimatforscher
und,CCONJ,und
Poet,NOUN,Poet
“,PUNCT,--
herzlich,ADV,herzlich
ein,ADV,ein
.,PUNCT,--
Für,ADP,für
die,DET,der
musikalische,ADJ,musikalisch
Umrahmung,NOUN,Umrahmung
sorgen,VERB,sorgen
Jan,PROPN,Jan
Damitz,PROPN,Damitz
",",PUNCT,--
Gesang,NOUN,Gesang
und,CCONJ,und
Rezitation,NOUN,Rezitation
",",PUNCT,--
und,CCONJ,und
Karsten,PROPN,Karsten
Drewing,PROPN,Drewing
",",PUNCT,--
Klavier,NOUN,Klavier
.,PUNCT,--
Ausstellungsort,NOUN,Ausstellungsort
Bezirksmuseum,NOUN,Bezirksmuseum
Marzahn-Hellersdorf,PROPN,Marzahn-Hellersdorf
Haus,NOUN,Haus
2,NUM,2
",",PUNCT,--
Alt-Marzahn,NOUN,Alt-Marzahn
55,NUM,55
",",PUNCT,--
12685,NUM,12685
Berlin,PROPN,Berlin
Tel.,NOUN,Tel.
54,NUM,54
79,NUM,79
09,NUM,09
21,NUM,21
Fax,NOUN,Fax
54,NUM,54
79,NUM,79
09,NUM,09
20,NUM,20
info@museum-marzahn-hellersdorf.de,NOUN,info@museum-marzahn-hellersdorf.de
www.museum-marzahn-hellersdorf.de,X,www.museum-marzahn-hellersdorf.de
Ausstellungsdauer,PROPN,Ausstellungsdauer
:,PUNCT,--
3.,ADJ,3.
Februar,NOUN,Februar
2020,NUM,2020
bis,ADP,bis
29.,ADJ,29.
November,NOUN,November
2020,NUM,2020
Öffnungszeiten,NOUN,Öffnungszeit
:,PUNCT,--
*,NOUN,*
Montag,NOUN,Montag
bis,ADP,bis
Freitag,NOUN,Freitag
jeweils,ADV,jeweils
10:00,NUM,10:00
bis,ADP,bis
18:00,ADV,18:00
Uh*r,ADJ,Uh*r
Schließzeit,NOUN,Schließzeit
zum,ADP,zu
Jahreswechsel,NOUN,Jahreswechsel
:,PUNCT,--
21.,ADJ,21.
Dezember,NOUN,Dezember
2019,NUM,2019
bis,ADP,bis
4.,ADJ,4.
Januar,NOUN,Januar
2020,NUM,2020
*,NOUN,*
Sonderöffnungszeit,NOUN,Sonderöffnungszeit
JEDEN,PROPN,JEDEN
ersten,ADJ,erster
SONNTAG,PROPN,SONNTAG
im,ADP,in
Monat,NOUN,Monat
5.,ADJ,5.
Januar,NOUN,Januar
und,CCONJ,und
2.,ADJ,2.
Februar,NOUN,Februar
2020,NUM,2020
jeweils,ADV,jeweils
11:00,ADV,11:00
bis,ADP,bis
17:00,DET,17:00
Uhr,NOUN,Uhr
Fahrverbindung,NOUN,Fahrverbindung
S-Bahn,NOUN,S-Bahn
Marzahn,PROPN,Marzahn
",",PUNCT,--
Springpfuhl,PROPN,Springpfuhl
Straßenbahn,PROPN,Straßenbahn
M6,PROPN,M6
",",PUNCT,--
M8,PROPN,M8
",",PUNCT,--
16,NUM,16
",",PUNCT,--
18,NUM,18
Bus,NOUN,Bus
154,NUM,154
",",PUNCT,--
192,NUM,192
",",PUNCT,--
195,NUM,195
