Token,PoS,Lemma
Letzte,ADJ,letzter
Chance,NOUN,Chance
!,PUNCT,--
Koloniale,ADJ,Koloniale
Spuren,NOUN,Spur
und,CCONJ,und
Interventionen,NOUN,Intervention
–,PUNCT,--
Führung,NOUN,Führung
durch,ADP,durch
zwei,NUM,zwei
Ausstellungen,NOUN,Ausstellung
"
",SPACE,"
"
Am,ADP,an
Dienstag,NOUN,Dienstag
",",PUNCT,--
dem,DET,der
13.,ADJ,13.
Februar,NOUN,Februar
2024,NUM,2024
findet,VERB,finden
um,ADP,um
18:30,NOUN,18:30
Uhr,NOUN,Uhr
letztmalig,ADV,letztmalig
eine,DET,ein
öffentliche,ADJ,öffentlich
Führung,NOUN,Führung
durch,ADP,durch
die,DET,der
beiden,DET,beide
historischen,ADJ,historisch
Ausstellungen,NOUN,Ausstellung
in,ADP,in
der,DET,der
GalerieETAGE,NOUN,GalerieETAGE
und,CCONJ,und
im,ADP,in
Museum,NOUN,Museum
Reinickendorf,PROPN,Reinickendorf
statt,ADV,statt
.,PUNCT,--
Unter,ADP,unter
dem,DET,der
Ausstellungstitel,NOUN,Ausstellungstitel
„,PUNCT,--
Koloniale,ADJ,Koloniale
Spuren,NOUN,Spur
der,DET,der
Industriegeschichte,NOUN,Industriegeschichte
“,PUNCT,--
in,ADP,in
der,DET,der
GalerieETAGE,NOUN,GalerieETAGE
",",PUNCT,--
wird,AUX,werden
erstmals,ADV,erstmals
eine,DET,ein
kritische,ADJ,kritisch
Auseinandersetzung,NOUN,Auseinandersetzung
mit,ADP,mit
der,DET,der
Geschichte,NOUN,Geschichte
des,DET,der
Kolonialismus,NOUN,Kolonialismus
und,CCONJ,und
dessen,PRON,der
Folgen,NOUN,Folge
auf,ADP,auf
regionaler,ADJ,regional
Ebene,NOUN,Ebene
unternommen,VERB,unternehmen
und,CCONJ,und
der,DET,der
Öffentlichkeit,NOUN,Öffentlichkeit
zugänglich,ADV,zugänglich
gemacht,VERB,machen
.,PUNCT,--
Die,DET,der
