Token,PoS,Lemma
Fahrscheinkontrolleurin,NOUN,Fahrscheinkontrolleurin
in,ADP,in
den,DET,der
Arm,NOUN,Arm
gebissen,VERB,gebissen
"
",SPACE,"
"
Nr.,NOUN,Nr.
0578,NUM,0578
Gestern,NOUN,Gestern
Nachmittag,NOUN,Nachmittag
wurde,AUX,werden
bei,ADP,bei
einer,DET,ein
Fahrscheinkontrolle,NOUN,Fahrscheinkontrolle
in,ADP,in
Gesundbrunnen,NOUN,Gesundbrunn
eine,DET,ein
Kontrolleurin,NOUN,Kontrolleurin
verletzt,VERB,verletzen
.,PUNCT,--
Nach,ADP,nach
bisherigem,ADJ,bisherig
Kenntnisstand,NOUN,Kenntnisstand
wollte,AUX,wollen
die,DET,der
43-Jährige,NOUN,43-Jährige
gegen,ADP,gegen
14.30,NUM,14.30
Uhr,NOUN,Uhr
den,DET,der
Fahrschein,NOUN,Fahrschein
eines,DET,ein
26,NUM,26
Jahre,NOUN,Jahr
alten,ADJ,alt
Fahrgasts,NOUN,Fahrgast
in,ADP,in
einem,DET,ein
Zug,NOUN,Zug
der,DET,der
U-Bahnlinie,NOUN,U-Bahnlinie
U8,PROPN,U8
in,ADP,in
Fahrtrichtung,NOUN,Fahrtrichtung
Wittenau,PROPN,Wittenau
kontrollieren,VERB,kontrollieren
.,PUNCT,--
Einen,DET,ein
Fahrschein,NOUN,Fahrschein
konnte,AUX,können
der,DET,der
Mann,NOUN,Mann
jedoch,ADV,jedoch
nicht,PART,nicht
vorlegen,VERB,vorlegen
.,PUNCT,--
Daraufhin,ADV,daraufhin
stiegen,VERB,steigen
die,DET,der
Kontrolleurin,NOUN,Kontrolleurin
",",PUNCT,--
eine,DET,ein
37,NUM,37
Jahre,NOUN,Jahr
alte,ADJ,alt
Kollegin,NOUN,Kollegin
und,CCONJ,und
ein,DET,ein
20-jähriger,ADJ,20-jährig
Kollege,NOUN,Kollege
zusammen,ADV,zusammen
mit,ADP,mit
dem,DET,der
Fahrgast,NOUN,Fahrgast
am,ADP,an
U-Bahnhof,NOUN,U-Bahnhof
Gesundbrunnen,NOUN,Gesundbrunn
aus,ADP,aus
.,PUNCT,--
Plötzlich,ADV,plötzlich
soll,AUX,sollen
der,DET,der
26-Jährige,NOUN,26-Jähriger
der,DET,der
43-Jährigen,NOUN,43-Jährige
unvermittelt,ADV,unvermittelt
ins,ADP,in
Gesicht,NOUN,Gesicht
geschlagen,VERB,schlagen
haben,AUX,haben
.,PUNCT,--
Der,DET,der
Attackierten,NOUN,Attackiert
gelang,VERB,gelingen
es,PRON,es
mit,ADP,mit
Hilfe,NOUN,Hilfe
ihrer,DET,ihr
Kollegin,NOUN,Kollegin
und,CCONJ,und
ihres,DET,ihr
Kollegen,NOUN,Kollege
",",PUNCT,--
den,DET,der
Angreifer,NOUN,Angreifer
zu,ADP,zu
Boden,NOUN,Boden
zu,PART,zu
bringen,VERB,bringen
und,CCONJ,und
ihn,PRON,ihn
dort,ADV,dort
festzuhalten,VERB,festhalten
.,PUNCT,--
Am,ADP,an
Boden,NOUN,Boden
soll,AUX,sollen
der,DET,der
Mann,NOUN,Mann
dann,ADV,dann
noch,ADV,noch
in,ADP,in
einen,DET,ein
Arm,NOUN,Arm
der,DET,der
Kontrolleurin,NOUN,Kontrolleurin
gebissen,VERB,bissen
haben,AUX,haben
.,PUNCT,--
Im,ADP,in
Anschluss,PROPN,Anschluss
wurde,AUX,werden
der,DET,der
Festgehaltene,NOUN,Festgehaltener
den,DET,der
alarmierten,ADJ,alarmiert
Polizeikräften,NOUN,Polizeikräft
übergeben,VERB,übergeben
.,PUNCT,--
Eine,DET,ein
ärztliche,ADJ,ärztlich
Versorgung,NOUN,Versorgung
am,ADP,an
Ort,NOUN,Ort
war,AUX,sein
nicht,PART,nicht
erforderlich,ADV,erforderlich
.,PUNCT,--
Nach,ADP,nach
Beendigung,NOUN,Beendigung
aller,DET,aller
Maßnahmen,NOUN,Maßnahme
wurde,AUX,werden
der,DET,der
Tatverdächtige,NOUN,Tatverdächtige
am,ADP,an
Bahnhof,NOUN,Bahnhof
entlassen,VERB,entlassen
.,PUNCT,--
Die,DET,der
weitere,ADJ,weit
Bearbeitung,NOUN,Bearbeitung
übernimmt,VERB,übernehmen
das,DET,der
Abschnittskommissariat,NOUN,Abschnittskommissariat
des,DET,der
Polizeiabschnitts,NOUN,Polizeiabschnitt
18.,ADJ,18.
