Token,PoS,Lemma
Vorübergehend,ADV,vorübergehend
keine,DET,kein
Sprechstunde,NOUN,Sprechstunde
im,ADP,in
Leistungsteam,NOUN,Leistungsteam
für,ADP,für
Geflüchtete,NOUN,Geflüchtet
aus,ADP,aus
der,DET,der
Ukraine,PROPN,Ukraine
"
",SPACE,"
"
Vom,ADP,von
Montag,NOUN,Montag
",",PUNCT,--
dem,DET,der
23.,ADJ,23.
Mai,NOUN,Mai
",",PUNCT,--
bis,ADP,bis
Freitag,NOUN,Freitag
",",PUNCT,--
dem,DET,der
27.,ADJ,27.
Mai,NOUN,Mai
2022,NUM,2022
",",PUNCT,--
wird,AUX,werden
das,DET,der
Amt,NOUN,Amt
für,ADP,für
Soziales,ADJ,Sozial
Marzahn-Hellersdorf,PROPN,Marzahn-Hellersdorf
aufgrund,ADP,aufgrund
des,DET,der
anstehenden,ADJ,anstehend
Rechtskreiswechsel,NOUN,Rechtskreiswechsel
bezüglich,ADV,bezüglich
des,DET,der
Leistungsanspruches,NOUN,Leistungsanspruch
für,ADP,für
ukrainische,ADJ,ukrainisch
Geflüchtete,NOUN,Geflüchtet
vom,ADP,von
AsylbLG,NOUN,AsylbLG
in,ADP,in
das,DET,der
SGB,NOUN,SGB
II,NUM,II
/,PUNCT,--
SGB,PROPN,SGB
XII,PROPN,XII
und,CCONJ,und
zur,ADP,zu
Sicherstellung,NOUN,Sicherstellung
der,DET,der
Zahlläufe,NOUN,Zahlläuf
vorübergehend,ADV,vorübergehend
keine,DET,kein
Sprechstunde,NOUN,Sprechstunde
im,ADP,in
Leistungsteam,NOUN,Leistungsteam
für,ADP,für
Geflüchtete,NOUN,Geflüchtet
aus,ADP,aus
der,DET,der
Ukraine,PROPN,Ukraine
anbieten,VERB,anbieten
.,PUNCT,--
Schrift-,X,Schrift
und,CCONJ,und
Postgut,NOUN,Postgut
kann,AUX,können
in,ADP,in
den,DET,der
Hausbriefkasten,NOUN,Hausbriefkast
geworfen,VERB,werfen
werden,AUX,werden
",",PUNCT,--
dieser,PRON,dieser
wird,AUX,werden
täglich,ADV,täglich
gelehrt,VERB,lehren
.,PUNCT,--
Ab,ADP,ab
Montag,NOUN,Montag
",",PUNCT,--
dem,DET,der
30.,ADJ,30.
Mai,NOUN,Mai
2022,NUM,2022
",",PUNCT,--
wird,AUX,werden
wieder,ADV,wieder
die,DET,der
reguläre,ADJ,regulär
Sprechzeit,NOUN,Sprechzeit
angeboten,VERB,anbieten
.,PUNCT,--
Für,ADP,für
Notfälle,NOUN,Notfall
ist,AUX,sein
eine,DET,ein
telefonische,ADJ,telefonisch
Hotline,PROPN,Hotline
unter,ADP,unter
030,NUM,030
–,PUNCT,--
90293,NUM,90293
–,PUNCT,--
4340,NUM,4340
zu,PART,zu
erreichen,VERB,erreichen
.,PUNCT,--
Die,DET,der
Bekanntmachung,NOUN,Bekanntmachung
des,DET,der
Rechtskreiswechsels,NOUN,Rechtskreiswechsel
im,ADP,in
Bundesgesetzblatt,NOUN,Bundesgesetzblatt
wird,AUX,werden
für,ADP,für
den,DET,der
Montag,NOUN,Montag
",",PUNCT,--
den,DET,der
23.,ADJ,23.
Mai,NOUN,Mai
2022,NUM,2022
",",PUNCT,--
erwartet,VERB,erwarten
.,PUNCT,--
Der,DET,der
nächste,ADJ,nächster
mögliche,ADJ,möglich
Zahllauf,NOUN,Zahllauf
wird,AUX,werden
der,DET,der
31.,ADJ,31.
Mai,NOUN,Mai
sein,AUX,sein
",",PUNCT,--
sodass,VERB,sodass
es,PRON,es
sein,AUX,sein
kann,AUX,können
",",PUNCT,--
dass,SCONJ,dass
die,DET,der
Leistung,NOUN,Leistung
ein,NUM,ein
bis,CCONJ,bis
zwei,NUM,zwei
Tage,NOUN,Tag
später,ADV,spät
auf,ADP,auf
dem,DET,der
Konto,NOUN,Konto
der,DET,der
Empfängerinnen,NOUN,Empfängerinn
und,CCONJ,und
Empfänger,NOUN,Empfänger
verbucht,VERB,verbuchen
wird,AUX,werden
.,PUNCT,--
Das,DET,der
Amt,NOUN,Amt
für,ADP,für
Soziales,NOUN,soziale
bittet,VERB,bitten
um,ADP,um
Verständnis,NOUN,Verständnis
",",PUNCT,--
es,PRON,es
wird,AUX,werden
zu,ADP,zu
keiner,DET,kein
Versorgungslücke,NOUN,Versorgungslücke
kommen,VERB,kommen
",",PUNCT,--
bitte,PART,bitte
daher,ADV,daher
von,ADP,von
unnötigen,ADJ,unnötig
Vorsprachen,NOUN,Vorsprach
absehen,VERB,absehen
.,PUNCT,--
Auf,ADP,auf
der,DET,der
Internetseite,NOUN,Internetseite
des,DET,der
Amtes,NOUN,Amt
für,ADP,für
Soziales,NOUN,soziale
finden,VERB,finden
alle,DET,aller
Interessierten,NOUN,interessierter
einen,DET,ein
Flyer,NOUN,Flyer
mit,ADP,mit
weiteren,ADJ,weit
Informationen,NOUN,Information
für,ADP,für
ukrainische,ADJ,ukrainisch
Flüchtlinge,NOUN,Flüchtling
.,PUNCT,--
