Token,PoS,Lemma
48.,ADJ,48.
Sängerfest,NOUN,Sängerfest
in,ADP,in
Köpenick,PROPN,Köpenick
am,ADP,an
09.06.2024,ADV,09.06.2024
"
",SPACE,"
"
Zeit,NOUN,Zeit
:,PUNCT,--
Sonntag,NOUN,Sonntag
",",PUNCT,--
9.,ADJ,9.
Juni,NOUN,Juni
2024,NUM,2024
ab,ADP,ab
10:00,ADJ,10:00
Uhr,NOUN,Uhr
Ort,NOUN,Ort
:,PUNCT,--
im,ADP,in
Hof,NOUN,Hof
der,DET,der
Joseph-Schmidt-Musikschule,PROPN,Joseph-Schmidt-Musikschule
",",PUNCT,--
Freiheit,NOUN,Freiheit
15,NUM,15
",",PUNCT,--
12555,NUM,12555
Berlin,PROPN,Berlin
am,ADP,an
Sonntag,NOUN,Sonntag
",",PUNCT,--
dem,DET,der
9.,ADJ,9.
Juni,NOUN,Juni
ab,ADP,ab
10:00,ADJ,10:00
Uhr,NOUN,Uhr
veranstaltet,VERB,veranstalten
das,DET,der
Chorensemble,NOUN,Chorensemble
Köpenick,PROPN,Köpenick
das,DET,der
48.,ADJ,48.
Köpenicker,NOUN,Köpenicker
Sängerfest,NOUN,Sängerfest
in,ADP,in
Zusammenarbeit,NOUN,Zusammenarbeit
mit,ADP,mit
dem,DET,der
Chorverband,NOUN,Chorverband
Berlin,PROPN,Berlin
e.V.,PROPN,e.V.
",",PUNCT,--
der,DET,der
Joseph-Schmidt-Musikschule,PROPN,Joseph-Schmidt-Musikschule
sowie,CCONJ,sowie
dem,DET,der
Gastrobereich,NOUN,Gastrobereich
der,DET,der
Freiheit,NOUN,Freiheit
15.,NUM,15.
Bis,ADP,bis
ca.,ADV,ca.
16:00,NUM,16:00
Uhr,NOUN,Uhr
bringen,VERB,bringen
11,NUM,11
Chöre,PROPN,Chöre
aus,ADP,aus
Treptow-Köpenick,PROPN,Treptow-Köpenick
und,CCONJ,und
der,DET,der
Umgebung,NOUN,Umgebung
Ausschnitte,NOUN,Ausschnitt
aus,ADP,aus
ihrem,DET,ihr
vielseitigen,ADJ,vielseitig
Repertoire,NOUN,Repertoire
zu,ADP,zu
Gehör,NOUN,Gehör
.,PUNCT,--
Moderiert,VERB,moderiert
wird,AUX,werden
das,DET,der
Sängerfest,NOUN,Sängerfest
von,ADP,von
Uta,PROPN,Uta
Meusel,PROPN,Meusel
.,PUNCT,--
