Token,PoS,Lemma
Aufruf,NOUN,Aufruf
zu,ADP,zu
Bewerbungen,NOUN,Bewerbung
für,ADP,für
Mitgliedschaft,NOUN,Mitgliedschaft
Beirat,NOUN,Beirat
von,ADP,von
und,CCONJ,und
für,ADP,für
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderung,NOUN,Behinderung
"
",SPACE,"
"
Das,DET,der
Bezirksamt,NOUN,Bezirksamt
Lichtenberg,PROPN,Lichtenberg
ruft,VERB,rufen
engagierte,ADJ,engagiert
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderungen,NOUN,Behinderung
sowie,CCONJ,sowie
Träger,NOUN,Träger
und,CCONJ,und
Vereine,NOUN,Verein
der,DET,der
Inklusionshilfe,NOUN,Inklusionshilfe
auf,ADP,auf
",",PUNCT,--
sich,PRON,sich
bis,ADP,bis
zum,ADP,zu
29.,ADJ,29.
Oktober,NOUN,Oktober
2021,NUM,2021
um,ADP,um
eine,DET,ein
Mitgliedschaft,NOUN,Mitgliedschaft
im,ADP,in
Beirat,NOUN,Beirat
von,ADP,von
und,CCONJ,und
für,ADP,für
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderung,NOUN,Behinderung
zu,PART,zu
bewerben,VERB,bewerben
.,PUNCT,--
Das,DET,der
Bewerbungsformular,NOUN,Bewerbungsformular
unter,ADP,unter
https://bit.ly/3tG6mIc,PROPN,Https://bit.ly/3tG6mIc
eingestellt,VERB,einstellen
und,CCONJ,und
kann,AUX,können
auf,ADP,auf
Wunsch,NOUN,Wunsch
auch,ADV,auch
per,ADP,per
Post,NOUN,Post
an,ADP,an
Interessierte,NOUN,interessierter
geschickt,VERB,schicken
werden,AUX,werden
.,PUNCT,--
Die,DET,der
Bewerbung,NOUN,Bewerbung
kann,AUX,können
per,ADP,per
Mail,NOUN,Mail
an,ADP,an
GstBB@lichtenberg.berlin.de,PROPN,GstBB@lichtenberg.berlin.de
oder,CCONJ,oder
per,ADP,per
Post,NOUN,Post
an,ADP,an
Bezirksamt,NOUN,Bezirksamt
Lichtenberg,PROPN,Lichtenberg
",",PUNCT,--
Beauftragte,NOUN,beauftragter
für,ADP,für
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderung,NOUN,Behinderung
",",PUNCT,--
Daniela,PROPN,Daniela
Kaup,PROPN,Kaup
",",PUNCT,--
Möllendorffstr,PROPN,Möllendorffstr
.,PUNCT,--
6,NUM,6
",",PUNCT,--
10367,NUM,10367
Berlin,PROPN,Berlin
geschickt,VERB,schicken
werden,AUX,werden
.,PUNCT,--
Mit,ADP,mit
der,DET,der
Wahl,NOUN,Wahl
eines,DET,ein
neuen,ADJ,neu
Abgeordnetenhauses,NOUN,Abgeordnetenhaus
und,CCONJ,und
der,DET,der
Wahl,NOUN,Wahl
zur,ADP,zu
Bezirksverordnetenversammlung,NOUN,Bezirksverordnetenversammlung
(,PUNCT,--
BVV,PROPN,BVV
),PUNCT,--
endet,VERB,enden
auch,ADV,auch
die,DET,der
Arbeit,NOUN,Arbeit
des,DET,der
Beirates,NOUN,Beirat
von,ADP,von
und,CCONJ,und
für,ADP,für
Menschen,NOUN,Mensch
mit,ADP,mit
Behinderung,NOUN,Behinderung
