Token,PoS,Lemma
FamilienServiceBüro,NOUN,FamilienServiceBüro
schließt,VERB,schließen
Kooperationsvereinbarung,NOUN,Kooperationsvereinbarung
mit,ADP,mit
der,DET,der
Familienkasse,NOUN,Familienkasse
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
"
",SPACE,"
"
Das,DET,der
FamilienServiceBüro,NOUN,FamilienServiceBüro
Charlottenburg-Wilmersdorf,PROPN,Charlottenburg-Wilmersdorf
schließt,VERB,schließen
am,ADP,an
Donnerstag,NOUN,Donnerstag
",",PUNCT,--
1.,ADJ,1.
Februar,NOUN,Februar
2024,NUM,2024
",",PUNCT,--
eine,DET,ein
Kooperationsvereinbarung,NOUN,Kooperationsvereinbarung
mit,ADP,mit
der,DET,der
Familienkasse,NOUN,Familienkasse
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
.,PUNCT,--
Die,DET,der
Familienkasse,NOUN,Familienkasse
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
wird,AUX,werden
das,DET,der
Familienservicebüro,NOUN,Familienservicebüro
als,ADP,als
einer,PRON,einer
der,DET,der
wichtigsten,ADJ,wichtig
Kooperationspartner,NOUN,Kooperationspartner
im,ADP,in
Rahmen,NOUN,Rahmen
einer,DET,ein
gemeinsamen,ADJ,gemeinsam
Servicezeit,NOUN,Servicezeit
einmal,ADV,einmal
monatlich,ADV,monatlich
jeweils,ADV,jeweils
am,ADP,an
ersten,ADJ,erster
Mittwoch,NOUN,Mittwoch
mit,ADP,mit
der,DET,der
Beratung,NOUN,Beratung
zu,ADP,zu
den,DET,der
Leistungen,NOUN,Leistung
Kindergeld,NOUN,Kindergeld
und,CCONJ,und
Kinderzuschlag,NOUN,Kinderzuschlag
am,ADP,an
Standort,NOUN,Standort
„,PUNCT,--
Haus,NOUN,Haus
der,DET,der
Familie,NOUN,Familie
“,PUNCT,--
in,ADP,in
der,DET,der
Schillerstraße,NOUN,Schillerstraße
26,NUM,26
unterstützen,VERB,unterstützen
.,PUNCT,--
Das,DET,der
FamilienServiceBüro,NOUN,FamilienServiceBüro
ist,AUX,sein
die,DET,der
Erstanlaufstelle,NOUN,Erstanlaufstelle
im,ADP,in
Jugendamt,NOUN,Jugendamt
für,ADP,für
alle,DET,aller
Familien,NOUN,Familie
",",PUNCT,--
Angehörige,NOUN,angehörige
und,CCONJ,und
werdende,ADJ,werdend
Eltern,NOUN,Eltern
im,ADP,in
Bezirk,NOUN,Bezirk
Charlottenburg-Wilmersdorf,PROPN,Charlottenburg-Wilmersdorf
.,PUNCT,--
Mit,ADP,mit
einem,DET,ein
multiprofessionellen,ADJ,multiprofessionell
Team,NOUN,Team
aus,ADP,aus
Sozialarbeiterinnen,NOUN,sozialarbeiterinne
und,CCONJ,und
Verwaltungsfachkräften,NOUN,Verwaltungsfachkräft
wird,AUX,werden
Familien,NOUN,Familie
kompetente,ADJ,kompetent
Erstberatung,NOUN,Erstberatung
zu,ADP,zu
fast,ADV,fast
allen,DET,aller
Themen,NOUN,Thema
und,CCONJ,und
Fragen,NOUN,Frage
rund,ADV,rund
um,ADP,um
das,DET,der
Familienleben,NOUN,Familienlebe
geboten,VERB,geboten
–,PUNCT,--
aus,ADP,aus
einer,DET,ein
Hand,NOUN,Hand
",",PUNCT,--
an,ADP,an
einem,DET,ein
Ort,NOUN,Ort
.,PUNCT,--
Es,PRON,es
werden,AUX,werden
Kontakte,NOUN,Kontakt
vermittelt,VERB,vermitteln
",",PUNCT,--
beim,ADP,bei
Ausfüllen,NOUN,ausfüllen
von,ADP,von
Anträgen,NOUN,Antrag
für,ADP,für
familienbezogene,ADJ,familienbezogen
und,CCONJ,und
wirtschaftliche,ADJ,wirtschaftlich
Leistungen,NOUN,Leistung
des,DET,der
Jugendamtes,NOUN,Jugendamt
geholfen,VERB,helfen
und,CCONJ,und
diese,PRON,dieser
an,ADP,an
die,DET,der
richtige,ADJ,richtig
Stelle,NOUN,Stelle
weitergeleitet,VERB,weiterleiten
.,PUNCT,--
Das,DET,der
Beratungsangebot,NOUN,Beratungsangebot
des,DET,der
FamilienServiceBüros,NOUN,FamilienServiceBüros
wird,AUX,werden
durch,ADP,durch
diese,DET,dieser
Kooperation,NOUN,Kooperation
um,ADP,um
ein,DET,ein
weiteres,ADJ,weit
Element,NOUN,Element
erweitert,VERB,erweitern
und,CCONJ,und
trägt,VERB,tragen
dazu,ADV,dazu
bei,ADP,bei
",",PUNCT,--
dass,SCONJ,dass
relevante,ADJ,relevant
Informationen,NOUN,Information
für,ADP,für
Familien,NOUN,Familie
zu,ADP,zu
den,DET,der
staatlichen,ADJ,staatlich
Kernleistungen,NOUN,Kernleistung
Kindergeld,PROPN,Kindergeld
und,CCONJ,und
Kinderzuschlag,NOUN,Kinderzuschlag
vor,ADP,vor
Ort,NOUN,Ort
im,ADP,in
Bezirk,NOUN,Bezirk
in,ADP,in
einem,DET,ein
persönlichen,ADJ,persönlich
Beratungstermin,NOUN,Beratungstermin
erhältlich,ADV,erhältlich
sind,AUX,sein
.,PUNCT,--
Im,ADP,in
Auftrag,NOUN,Auftrag
Jüch,PROPN,Jüch
