Token,PoS,Lemma
Fragile,PROPN,Fragile
Times,PROPN,Times
-,PUNCT,--
Ausstellung,NOUN,Ausstellung
in,ADP,in
der,DET,der
Galerie,NOUN,Galerie
im,ADP,in
Körnerpark,NOUN,Körnerpark
"
",SPACE,"
"
Ausstellung,NOUN,Ausstellung
vom,ADP,von
4.,ADJ,4.
Juli,NOUN,Juli
bis,ADP,bis
25.,ADJ,25.
Oktober,NOUN,Oktober
2020,NUM,2020
Das,DET,der
ökologische,ADJ,ökologisch
Gleichgewicht,NOUN,Gleichgewicht
auf,ADP,auf
der,DET,der
Erde,NOUN,Erde
ist,AUX,sein
ins,ADP,in
Wanken,NOUN,wanken
geraten,VERB,geraten
.,PUNCT,--
Klimawandel,PROPN,Klimawandel
",",PUNCT,--
Umweltverschmutzung,NOUN,Umweltverschmutzung
und,CCONJ,und
Artensterben,NOUN,Artensterbe
sind,AUX,sein
nur,ADV,nur
einige,PRON,einige
der,DET,der
Schlagworte,NOUN,Schlagwort
",",PUNCT,--
die,PRON,der
viele,DET,vieler
Menschen,NOUN,Mensch
in,ADP,in
Sorge,NOUN,Sorge
versetzen,VERB,versetzen
.,PUNCT,--
Dennoch,ADV,dennoch
kommt,VERB,kommen
es,PRON,es
bei,ADP,bei
den,DET,der
Wenigsten,NOUN,Wenigste
zu,ADP,zu
nachhaltigen,ADJ,nachhaltig
Verhaltensänderungen,NOUN,Verhaltensänderung
.,PUNCT,--
Die,DET,der
Ausstellung,NOUN,Ausstellung
beschäftigt,VERB,beschäftigen
sich,PRON,sich
mit,ADP,mit
dem,DET,der
fragilen,ADJ,fragil
Verhältnis,NOUN,Verhältnis
von,ADP,von
Mensch,NOUN,Mensch
und,CCONJ,und
Natur,NOUN,Natur
und,CCONJ,und
sucht,VERB,suchen
nach,ADP,nach
Wegen,NOUN,Wegen
",",PUNCT,--
dieses,DET,dieser
neu,ADV,neu
auszuloten,VERB,auszulot
.,PUNCT,--
Wie,ADV,wie
kann,AUX,können
Kunst,NOUN,Kunst
einen,DET,ein
Raum,NOUN,Raum
schaffen,VERB,schaffen
",",PUNCT,--
in,ADP,in
dem,PRON,der
wir,PRON,wir
unsere,DET,unser
Beziehung,NOUN,Beziehung
zur,ADP,zu
(,PUNCT,--
Um,NOUN,um
),PUNCT,--
Welt,NOUN,Welt
auf,ADP,auf
neue,ADJ,neu
Weise,NOUN,Weise
definieren,VERB,definieren
?,PUNCT,--
Können,AUX,können
Kunst,NOUN,Kunst
und,CCONJ,und
Poesie,NOUN,Poesie
zu,ADP,zu
Heilungsprozessen,NOUN,Heilungsprozess
beitragen,VERB,beitragen
",",PUNCT,--
die,PRON,der
das,DET,der
Miteinander,NOUN,Miteinander
der,DET,der
Lebewesen,NOUN,Lebewesen
verbessern,VERB,verbessern
?,PUNCT,--
In,ADP,in
ihren,DET,ihr
Arbeiten,NOUN,Arbeit
beschäftigen,VERB,beschäftigen
sich,PRON,sich
die,DET,der
eingeladenen,ADJ,eingeladen
Künstler*innen,NOUN,Künstler*in
mit,ADP,mit
Themen,NOUN,Thema
wie,ADP,wie
dem,DET,der
Wasser,NOUN,Wasser
als,ADP,als
Ursprung,NOUN,Ursprung
des,DET,der
Lebens,NOUN,Leben
;,PUNCT,--
dem,DET,der
Paradox,NOUN,Paradox
fossiler,ADJ,fossil
Brennstoffe,NOUN,Brennstoff
",",PUNCT,--
die,DET,der
Sonnenenergie,NOUN,Sonnenenergie
speichern,VERB,speichern
;,PUNCT,--
oder,CCONJ,oder
dem,DET,der
Müll,NOUN,Müll
in,ADP,in
den,DET,der
Meeren,NOUN,Meer
",",PUNCT,--
der,DET,der
Ausgangspunkt,NOUN,Ausgangspunkt
für,ADP,für
ein,DET,ein
gigantisches,ADJ,gigantisch
Archiv,NOUN,Archiv
der,DET,der
Menschheit,NOUN,Menschheit
werden,AUX,werden
könnte,AUX,können
.,PUNCT,--
Der,DET,der
allgemein,ADV,allgemein
verbreiteten,ADJ,verbreitet
Ratlosigkeit,NOUN,Ratlosigkeit
setzen,VERB,setzen
die,DET,der
Künstler*innen,NOUN,Künstler*inn
ungewöhnliche,ADJ,ungewöhnlich
