Token,PoS,Lemma
Bewerbung,NOUN,Bewerbung
als,ADP,als
Anbieter,NOUN,Anbieter
von,ADP,von
Ferienreisen,NOUN,Ferienreis
2020,NUM,2020
für,ADP,für
Pankower,PROPN,Pankower
Kinder,NOUN,Kind
und,CCONJ,und
Jugendliche,NOUN,jugendliche
"
",SPACE,"
"
Das,DET,der
Jugendamt,NOUN,Jugendamt
Pankow,PROPN,Pankow
möchte,AUX,möchten
den,DET,der
Kindern,NOUN,Kind
und,CCONJ,und
Jugendlichen,NOUN,jugendliche
aus,ADP,aus
Pankow,PROPN,Pankow
im,ADP,in
Sommer,NOUN,Sommer
2020,NUM,2020
Ferienreisen,NOUN,Ferienreise
gemäß,ADP,gemäß
dem,DET,der
neuen,ADJ,neu
Jugendförder-,X,Jugendförder
und,CCONJ,und
Beteiligungsgesetz,NOUN,Beteiligungsgesetz
(,PUNCT,--
ab,ADP,ab
01.01.2020,PROPN,01.01.2020
),PUNCT,--
anbieten,VERB,anbieten
.,PUNCT,--
Anerkannten,ADJ,Anerkannt
Träger,NOUN,Träger
/,PUNCT,--
Verbände,NOUN,Verband
der,DET,der
Jugendhilfe,NOUN,Jugendhilfe
und,CCONJ,und
andere,ADJ,anderer
Reiseanbieter,NOUN,Reiseanbieter
",",PUNCT,--
die,PRON,der
im,ADP,in
kommenden,ADJ,kommend
Sommer,NOUN,Sommer
Ferienreisen,NOUN,Ferienreisen
unternehmen,VERB,unternehmen
",",PUNCT,--
werden,AUX,werden
dazu,ADV,dazu
aufgerufen,VERB,aufrufen
",",PUNCT,--
sich,PRON,sich
um,ADP,um
eine,DET,ein
finanzielle,ADJ,finanziell
Förderung,NOUN,Förderung
durch,ADP,durch
das,DET,der
Jugendamt,NOUN,Jugendamt
bis,ADP,bis
14.02.2020,NOUN,14.02.2020
zu,PART,zu
bewerben,VERB,bewerben
.,PUNCT,--
Formulare,NOUN,Formular
können,AUX,können
im,ADP,in
Internet,NOUN,Internet
unter,ADP,unter
„,PUNCT,--
Jugendamt,PROPN,Jugendamt
Pankow,PROPN,Pankow
Erholungsreisen,PROPN,Erholungsreisen
“,PUNCT,--
https://www.berlin.de/jugendamt-pankow/dienste-und-leistungen/allgemeine-foerderung-von-jungen-menschen-und-familien/erholungsreisen,NOUN,https://www.berlin.de/jugendamt-pankow/dienste-und-leistungen/allgemeine-foerderung-von-jungen-menschen-und-familien/erholungsreis
/,PUNCT,--
eingesehen,ADJ,eingesehen
und,CCONJ,und
heruntergeladen,VERB,heruntergeladen
werden,AUX,werden
.,PUNCT,--
Weitere,ADJ,weit
Infos,NOUN,Infos
bei,ADP,bei
Frau,NOUN,Frau
Schenk,PROPN,Schenk
:,PUNCT,--
(,PUNCT,--
030,NUM,030
),PUNCT,--
90,NUM,90
295,NUM,295
–,PUNCT,--
7345,NUM,7345
",",PUNCT,--
irene.schenk@ba-pankow.berlin.de,NOUN,irene.schenk@ba-pankow.berlin.de
und,CCONJ,und
bei,ADP,bei
Frau,NOUN,Frau
Bastian,PROPN,Bastian
:,PUNCT,--
(,PUNCT,--
030,NUM,030
),PUNCT,--
90,NUM,90
295,NUM,295
–,PUNCT,--
7261,NUM,7261
",",PUNCT,--
simone.bastian@ba-pankow.berlin.de,PROPN,Simone.bastian@ba-pankow.berlin.de
.,PUNCT,--
